annonceur,occurrences,chaines_distinctes,plus_grosse_audience,exemple_video,deja_connu
Odoo de sponsoriser cette,3,1,5850000,https://www.youtube.com/watch?v=XBLXmwxSd-0,non
Clash Royale,3,1,3140000,https://www.youtube.com/watch?v=bvz67duKgr8,non
notre partenaire EDF,3,1,2770000,https://www.youtube.com/watch?v=gpEt5qcR5LQ,non
Studio71,3,1,1560000,https://www.youtube.com/watch?v=B3KAbVdjFRU,non
Tower of Fantasy de,3,1,1390000,https://www.youtube.com/watch?v=1lfLt_NDHes,non
chaleureusement,3,1,1280000,https://www.youtube.com/watch?v=gdU-8A-iNlg,non
Ludovik,3,1,1280000,https://www.youtube.com/watch?v=SS0n2ecXA04,non
l'agence Redsoyu,3,1,734000,https://www.youtube.com/watch?v=6t2X91zWQek,non
Benjamin,3,1,330000,https://www.youtube.com/watch?v=ZlpnxO0j5dc,non
mon père,3,1,330000,https://www.youtube.com/watch?v=81agoHVYhxU,non
ma chère Bérengère,3,1,330000,https://www.youtube.com/watch?v=J31PGJIONV8,non
ma team de choc,3,1,330000,https://www.youtube.com/watch?v=1ccJDZaJlwo,non
Joul avec,3,1,330000,https://www.youtube.com/watch?v=nOs1iKbFtg8,non
mon gars,3,1,128000,https://www.youtube.com/watch?v=Qnj_HhrgevY,non
Fanny,3,1,128000,https://www.youtube.com/watch?v=CEFNn2sMz_4,non
Eaquess,3,1,128000,https://www.youtube.com/watch?v=a15FceEGrX0,non
Brigade Beats,3,1,128000,https://www.youtube.com/watch?v=MvPv8oPwY5Q,non
Anne-Sarah,3,1,122000,https://www.youtube.com/watch?v=9R20V1FBXtw,non
Levi's,3,1,122000,https://www.youtube.com/watch?v=4GMpbtR9g4c,non
mes amis Eleonore et,3,1,71100,https://www.youtube.com/watch?v=Dq5hFC3ussQ,non
Laurence,3,1,71100,https://www.youtube.com/watch?v=-tD5jsFhqVM,non
my Patrons,3,1,22100,https://www.youtube.com/watch?v=FkfXkKgWHmo,non
le musée du Louvre,3,1,16700,https://www.youtube.com/watch?v=dpYT0-cqYQg,non
Jonathan Musialski,2,1,20200000,https://www.youtube.com/watch?v=49Dy0nvs7Lw,non
Nello Poure,2,1,20200000,https://www.youtube.com/watch?v=49Dy0nvs7Lw,non
Potatoz,2,1,20200000,https://www.youtube.com/watch?v=3DFUYS4mPKA,non
CitySoul.nyc and Larry Racioppo,2,1,19200000,https://www.youtube.com/watch?v=GqpsyKfzBDM,non
toute ma merveilleuse équipe,2,1,11200000,https://www.youtube.com/watch?v=C6amOt2VOQ8,non
toute mon équipe,2,1,11200000,https://www.youtube.com/watch?v=JPoRdpDXdmw,non
Antoine Denardi,2,1,11200000,https://www.youtube.com/watch?v=5IqARGgl2iE,non
Studios de l'Olivier,2,1,11200000,https://www.youtube.com/watch?v=iOrffWPE3g8,non
Doc Seven,2,1,11200000,https://www.youtube.com/watch?v=lTGc6ic171I,non
toute l'équipe de cette,2,1,11200000,https://www.youtube.com/watch?v=VLfBwM9IXDI,non
mes partenaires air up,2,1,9470000,https://www.youtube.com/watch?v=gP5Ww9PpmKU,non
tous les figurants présents,2,1,9470000,https://www.youtube.com/watch?v=sXkNmtJY7wE,non
Victoria l’abonnée du jour,2,1,7660000,https://www.youtube.com/watch?v=_nIMtE65UsI,non
A&R Studios et Freiberger,2,1,6540000,https://www.youtube.com/watch?v=_JhmNjntth8,non
vous de me suivre,2,1,5850000,https://www.youtube.com/watch?v=KzMAGeswntQ,non
Displate,2,1,5850000,https://www.youtube.com/watch?v=MFxjxUxhg7I,non
L'Oréal Men Expert,2,1,5550000,https://www.youtube.com/watch?v=iIy7oZ9Fhck,non
Sport 2000,2,1,3140000,https://www.youtube.com/watch?v=5UwqsfocsAE,non
Adnan Çelik,2,1,2770000,https://www.youtube.com/watch?v=HHDXUC87xns,non
Tassadit Yacine,2,1,2770000,https://www.youtube.com/watch?v=--3bI42R8XM,non
la Monnaie de Paris,2,1,2770000,https://www.youtube.com/watch?v=BxX2kUbbwCg,non
encore EDF,2,1,2770000,https://www.youtube.com/watch?v=16lR_ZNC8ug,non
l'Inrap,2,1,2770000,https://www.youtube.com/watch?v=EJPJi9eR8Vo,non
EDF,2,1,2770000,https://www.youtube.com/watch?v=jivvLTUorMA,non
Lucas Pacotte,2,1,2770000,https://www.youtube.com/watch?v=c4janJZygNk,non
David Goovaerts,2,1,2770000,https://www.youtube.com/watch?v=7tL5a_3JrNQ,non
mes fréros,2,1,2350000,https://www.youtube.com/watch?v=d4mX11eqsIk,non
Avoriaz 1800,2,1,1580000,https://www.youtube.com/watch?v=cxHOKoAjiFg,non
Caudalie,2,1,1560000,https://www.youtube.com/watch?v=10jzfV9kDEM,non
l'occitane,2,1,1560000,https://www.youtube.com/watch?v=Q4itJKpxRFY,non
Enzooka,2,1,1390000,https://www.youtube.com/watch?v=YsTSt3nzYxk,non
Alexandre,2,1,1390000,https://www.youtube.com/watch?v=t8nZWt0DaKM,non
Floa,2,1,1390000,https://www.youtube.com/watch?v=6_s-gVR8fqU,non
Foxeer & Pixyn,2,1,1390000,https://www.youtube.com/watch?v=0qQ5dYc7XW0,non
Cdiscount,2,1,1390000,https://www.youtube.com/watch?v=gEw9GmXpOxM,non
JBL Quantum de sponsoriser,2,1,1390000,https://www.youtube.com/watch?v=o6bi_3mvvyg,non
Fyzz,2,1,1390000,https://www.youtube.com/watch?v=NVFoNrSdTmM,non
Ubisoft,2,1,1390000,https://www.youtube.com/watch?v=C-WA_l1Ci_A,non
JBL Quantum,2,1,1390000,https://www.youtube.com/watch?v=_PgyZMp-4kY,non
Fnac de sponsoriser l'émission,2,1,1390000,https://www.youtube.com/watch?v=Xfegu6qgnFM,non
AMD de sponsoriser l'émission,2,1,1390000,https://www.youtube.com/watch?v=Xfegu6qgnFM,non
PlayStation,2,1,1390000,https://www.youtube.com/watch?v=D3QedqsdM64,non
Panini,2,1,1390000,https://www.youtube.com/watch?v=-1AK79rbwns,non
Orange Bank,2,1,1390000,https://www.youtube.com/watch?v=kh3lRryr9yw,non
PowerLight,2,1,1390000,https://www.youtube.com/watch?v=UZV7M9GczVc,non
Blu,2,1,1280000,https://www.youtube.com/watch?v=wgv2QXu_Ydc,non
Ki-oon,2,1,1060000,https://www.youtube.com/watch?v=HKMIgDwM65s,non
Wilkinson,2,1,1060000,https://www.youtube.com/watch?v=0Grjv3K_RFI,non
l’Agence du Tourisme de,2,1,1030000,https://www.youtube.com/watch?v=NIgnLLSi0k0,non
notre partenaire Decathlon,2,1,1030000,https://www.youtube.com/watch?v=NIgnLLSi0k0,non
Aliexpress,2,1,1020000,https://www.youtube.com/watch?v=hp8tXKmUmRo,non
la Ligue National de,2,1,974000,https://www.youtube.com/watch?v=DT2tlLQp66w,non
JuniorTV,2,1,971000,https://www.youtube.com/watch?v=fpal-6xxDoA,non
Ollin,2,1,734000,https://www.youtube.com/watch?v=Jc0swoFLQ9U,non
Lenovo,2,1,667000,https://www.youtube.com/watch?v=QhN7axCNJhU,non
RedBull,2,1,667000,https://www.youtube.com/watch?v=8HyA_0ED9J8,non
du fond du cœur,2,1,667000,https://www.youtube.com/watch?v=5_4cZb1lmYo,non
Klippeurs,2,1,496000,https://www.youtube.com/watch?v=8aC02UOt-p8,non
mon Ex,2,1,495000,https://www.youtube.com/watch?v=XldOtHuzpnc,non
Alex,2,1,430000,https://www.youtube.com/watch?v=RnYsMcqh3I0,non
Mybutcherbox,2,1,349000,https://www.youtube.com/watch?v=gk0-GpQEa0c,non
Alexis,2,1,330000,https://www.youtube.com/watch?v=xDaWAckRgjQ,non
Arthur Boulanger,2,1,330000,https://www.youtube.com/watch?v=EfMQkQBYX2c,non
ma super équipe technique,2,1,330000,https://www.youtube.com/watch?v=zSK6NaaUxZ8,non
vous d'être une communauté,2,1,330000,https://www.youtube.com/watch?v=A1rMZZZ1qLM,non
Ben de Entre Amy'Studio,2,1,330000,https://www.youtube.com/watch?v=XVouPMFy2_U,non
Béren,2,1,330000,https://www.youtube.com/watch?v=cyUJ5LbTnEQ,non
ma team,2,1,330000,https://www.youtube.com/watch?v=Rla4CZyxYwI,non
O'Tacos,2,1,245000,https://www.youtube.com/watch?v=eFkF7hmlVoU,non
Emma,2,1,245000,https://www.youtube.com/watch?v=ANaLm2Ilc_o,non
Noblessa Cuisines,2,1,233000,https://www.youtube.com/watch?v=HoCPrmPl5To,non
Destruction AllSars,2,1,206000,https://www.youtube.com/watch?v=qez2dXdAric,non
SWANSIDE,2,1,128000,https://www.youtube.com/watch?v=yMjU_CHfQD0,non
mon Clément aka Zizou,2,1,128000,https://www.youtube.com/watch?v=gLDSnq3KQ0g,non
Lujipeka,2,1,122000,https://www.youtube.com/watch?v=pbHWcS65eFM,non
Seb,2,1,122000,https://www.youtube.com/watch?v=tU4ZqKSdiV0,non
Lolo,2,1,122000,https://www.youtube.com/watch?v=Z3mjSCyrSbc,non
toute la team RADAR,2,1,122000,https://www.youtube.com/watch?v=y_6WxqWPeVA,non
Schweppes,2,1,122000,https://www.youtube.com/watch?v=LGorxAZxtOY,non
Gaëlle,2,1,122000,https://www.youtube.com/watch?v=uXKO48o9DAI,non
William et à l'Hôtel,2,1,122000,https://www.youtube.com/watch?v=mq9ps46xGX4,non
Back in The Dayz,2,1,122000,https://www.youtube.com/watch?v=ZbhUshELNJo,non
Uber Eats ainsi qu'à,2,1,122000,https://www.youtube.com/watch?v=DEz6m1KhBmk,non
l'Esplanade Saint-Eustache,2,1,71100,https://www.youtube.com/watch?v=vprR_Id_MeY,non
tous les exposants,2,1,71100,https://www.youtube.com/watch?v=YoTSHnXV6Pk,non
Combeing,2,1,25200,https://www.youtube.com/watch?v=GQF_0tK4tfE,non
l'ESCP Busines SchooL,2,1,16700,https://www.youtube.com/watch?v=QNqM5QZSogc,non
tous nos restaurateurs,2,1,1320,https://www.youtube.com/watch?v=2xO8A3Ju0jQ,non
Wine Lr,2,1,564,https://www.youtube.com/watch?v=BZfoVP0hklk,non
