lobby_institutionnel,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
INTERBEV,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=HUJAmqKEuwk,2021-05-24,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,Je vis la vie d'un ELEVEUR d'OVINS !
INTERBEV,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=aEtOTdyWtqs,2021-05-23,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,Ce TAUREAU me fait FLIPPER ! J'aide un éleveur de BOVINS !
INAPORC,INAPORC,Le Porc Francais,https://www.youtube.com/watch?v=UXC8PGoEULg,2018-10-25,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688"
INAPORC,INAPORC,Le Porc Francais,https://www.youtube.com/watch?v=WCG8jN-i8ZQ,2018-05-18,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594
INAPORC,INAPORC,Le Porc Francais,https://www.youtube.com/watch?v=RBsbxIGJP-U,2023-05-29,,ancien,LeStream,YouTube,,,je ne sais pas,description du createur,lien commercial soupconne,oui,RENCONTRE AVEC SOPHIE
CNIEL,CNIEL,@lescereales | CHAUD !,https://www.youtube.com/watch?v=NSden3Wlpe0,2017-11-12,,ancien,MYRIAMANHATTAN,YouTube,,,,description du createur,lien commercial soupconne,non,RECETTE DE LA HESS : BARRE LION 🦁🍫!
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=WBa8Ci2k77E,2021-09-19,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,"Sam’s, Jean-Pascal Zadi, Hakim Jemili & Friends #CheckFood"
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=NMDUL6oIP-A,2021-04-21,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,"S.Pri Noir, Mister V, Still Fresh et le Chef Pincemin #CheckFood"
CNIEL,CNIEL,@lesproduitslaitiers | Marie,https://www.youtube.com/watch?v=bLQ_UrBYgoA,2021-02-27,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,"Gazo, Tiakola, Landy & le BSB Gang #CheckFood​"
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=efkbEp9LzCk,2020-11-08,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,"Medine, Youssoupha, Lino, Oxmo Puccino, Rémy et Pirate #CheckFood"
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=H0x_Cdhk_5o,2020-10-22,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,"KIKESA, Seth Gueko, 47Ter, Matou, P.Prod & Haristone #CheckFood"
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=CHpCoxV8PvA,2020-03-11,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,Mister V et le MQEEBD #CheckFood
CNIEL,CNIEL,@lesproduitslaitiers | Societe,https://www.youtube.com/watch?v=4Hlmi8kDjeE,2019-12-25,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,"Alkpote, Caballero & JeanJass, Seb et Mehdi Maïzi + guests #CheckFood"
CNIEL,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=VfY04ENfC3w,2019-11-15,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,Alkpote & Philippe Katerine #CheckFood
CNIEL,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=EpzHxNBOcrs,2019-09-20,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,Alkpote & Roi Heenok #CheckFood
CNIEL,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=uXKO48o9DAI,2019-03-28,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,Alkpote & Jok'air #CheckFood
CNIEL,CNIEL,@lesproduitslaitiers | Societe,https://www.youtube.com/watch?v=38vtxSjzi9Y,2019-03-07,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,Gaëlle Garcia Diaz & KIKESA #CheckFood
CNIEL,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=Yc4r1SzVb4Y,2019-02-08,,ancien,Check,YouTube,,,,description du createur,lien commercial soupconne,non,Gaëlle Garcia Diaz & Alkpote #CheckFood
CNIEL,CNIEL,CHAUD ! | Candia | La Laitiere | President,https://www.youtube.com/watch?v=uwyDo-NNCD8,2026-02-24,,recent,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,CHAUD! - Épisode 4 (avec Jeffrey Cagnes)
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=3QvRInOnfqo,2023-05-31,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Pub Les Produits Laitiers Manga - Filière Laitière
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=MRgD8nhPyvE,2023-02-15,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Pub TV - Les Produits Laitiers Manga - Environnement
