pseudo_commun,contenus_commerciaux_tiktok,labels_tiktok,channel_id,titre_youtube,pseudo_youtube,abonnes_youtube,videos,pays_declare,url,rattachement,releve_le
ursuflexx,1,Paid Partnership,UCbMIVp51luxJcx9aKwtjKEA,Ursula ☆,@ursuflexx,456,36,FR,https://www.youtube.com/channel/UCbMIVp51luxJcx9aKwtjKEA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
not_so_superflu,31,Paid Partnership,UCsqeXQFWeEUOHdXzeWMx0iQ,Monelle Godaert,@not_so_superflu,455,24,,https://www.youtube.com/channel/UCsqeXQFWeEUOHdXzeWMx0iQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
alssuri20,2,Promotional Content,UCT8AdCbQ4Bjx13XCvVzFJ8Q,CHINA CARD,@chinacard02,450,3,DE,https://www.youtube.com/channel/UCT8AdCbQ4Bjx13XCvVzFJ8Q,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
jadelefrs,2,Paid Partnership,UCiZKPEuvdR06CaY8P4iiYAQ,Jade Lefrancois,@jadelefrs,445,42,,https://www.youtube.com/channel/UCiZKPEuvdR06CaY8P4iiYAQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
jooowsky,1,Paid Partnership,UCpUjpLvmnCSGlxUmvNc_gTg,Jooowsky,@jooowsky,445,0,,https://www.youtube.com/channel/UCpUjpLvmnCSGlxUmvNc_gTg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
lefoodbob,1,Paid Partnership,UCA-10tyAMVY_3rWjtBmPSrA,LE CARNET I GUIDE 2.0,@lefoodbob,444,62,,https://www.youtube.com/channel/UCA-10tyAMVY_3rWjtBmPSrA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
heymewni,1,Paid Partnership,UCshWeLcCIFmS-w4koZRY9Uw,Onepimew,@heymewni,443,3,,https://www.youtube.com/channel/UCshWeLcCIFmS-w4koZRY9Uw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
maxdefun,7,Paid Partnership,UCQfXMBiV8mUsneV5KLrQk6A,Maxdefun,@maxdefun,435,30,FR,https://www.youtube.com/channel/UCQfXMBiV8mUsneV5KLrQk6A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
chaibule,1,Promotional Content,UCX4l4hoMQsdiV6CbHWiL7QQ,Chaibule,@chaibule,425,240,,https://www.youtube.com/channel/UCX4l4hoMQsdiV6CbHWiL7QQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
transitiongreen,1,Paid Partnership,UCQKN74LSSbpa_seiDiEiitQ,Margaux 🌸,@transitiongreen,423,129,,https://www.youtube.com/channel/UCQKN74LSSbpa_seiDiEiitQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
lindadrte,3,Paid Partnership,UCg_XQkNUA6rsIEK3MMCq_Tw,Linda🌞,@lindadrte,422,16,FR,https://www.youtube.com/channel/UCg_XQkNUA6rsIEK3MMCq_Tw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
miel_abtt,1,Paid Partnership,UC0GUyeHYLsWuk8HbsZUhzuw,Miel 🍯 ,@miel_abtt,420,2,,https://www.youtube.com/channel/UC0GUyeHYLsWuk8HbsZUhzuw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
parisfr24,2,Paid Partnership,UCH9zGdCs-PwiYsD4E0X088g,PARIS پاریس,@parisfr24,419,50,,https://www.youtube.com/channel/UCH9zGdCs-PwiYsD4E0X088g,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
myluminetteofficiel,1,Promotional Content,UCKRJ-8dO_fDe_r7cXXDlxtw,Luminette,@myluminetteofficiel,419,96,BE,https://www.youtube.com/channel/UCKRJ-8dO_fDe_r7cXXDlxtw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
boulettemukbang,1,Paid Partnership,UC1Zr0CmwMATN87blq6Ej3Ag,BouletteMukbang,@boulettemukbang,417,33,,https://www.youtube.com/channel/UC1Zr0CmwMATN87blq6Ej3Ag,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
etiaxil_france,25,Paid Partnership | Promotional Content,UCr-s3h-K4o0dRDWdISTnciw,Etiaxil,@etiaxil_france,416,30,,https://www.youtube.com/channel/UCr-s3h-K4o0dRDWdISTnciw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
janneaunan,1,Paid Partnership,UCesRq7_zk0S4KxcWup-TpOA,Janne Aunan,@janneaunan,414,39,FR,https://www.youtube.com/channel/UCesRq7_zk0S4KxcWup-TpOA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
diana_kaliya,1,Paid Partnership,UCN7drBFT-ahlubM_ZPeQwEQ,Diana_Kaliya ,@diana_kaliya,408,17,,https://www.youtube.com/channel/UCN7drBFT-ahlubM_ZPeQwEQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
sorsdecheztoi,1,Paid Partnership,UCwSJR3zHnp4dbcXKznFsMhA,Antoine I Sors de chez toi ,@sorsdecheztoi,407,67,,https://www.youtube.com/channel/UCwSJR3zHnp4dbcXKznFsMhA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
atelierlass,1,Paid Partnership,UCq8x2OVqNi7IF_t5l2eecCQ,ATELIERLASS,@atelierlass,403,45,FR,https://www.youtube.com/channel/UCq8x2OVqNi7IF_t5l2eecCQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
thylanemoulin,8,Paid Partnership,UC_4ot6nrS-BN9RvlTcPaXFw,thylanemoulin,@thylanemoulin,401,3,FR,https://www.youtube.com/channel/UC_4ot6nrS-BN9RvlTcPaXFw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
