commanditaire,type_de_commanditaire,secteur,groupe_parent,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,nature_de_la_ligne,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=s_Gbs-Scp-A,2019-10-31,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LA PMA - RENNES
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=cejlgIeVzQg,2019-10-28,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - INÉGALITÉS HOMMES/FEMMES - ROUEN
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=92J7_p8nvDw,2019-10-23,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LES PRODUITS LAITIERS - CAEN
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ABbTFvW0vJo,2019-10-16,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LA FRANCE - BRUXELLES
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7budxtYR8eo,2019-10-10,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LES SITES DE RENCONTRES - LILLE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=YxeACzXxQ7s,2019-10-04,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - L'ARRESTATION - DIJON
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=heJqGU0UR44,2019-09-30,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - JACQUES CHIRAC - STRASBOURG
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=o5zvY-1O6bc,2019-09-27,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - L'ALCOOL - CLERMONT FERRAND
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=pFTXagiX2Rw,2019-09-24,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LA PROSTITUTION - LYON
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=scKwDXeNpCw,2019-09-12,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LA CORSE - AJACCIO
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7Yrcydd0OAw,2019-09-10,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LES QUARTIERS NORD - MARSEILLE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=u-Cu9TEpsj8,2019-09-06,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - L'ÉCOLOGIE - MONTPELLIER
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=tVkS7WYI6Yo,2019-09-02,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - HOMOPHOBIE DANS LES STADES - MARSEILLE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=YaYSolZhTCA,2019-08-29,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - L'ÉCHANGISME - CAP D'AGDE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=FHkBVl5lKVE,2019-08-26,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LES RÉSEAUX SOCIAUX - TOULOUSE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=lo5Pii_ZLOk,2019-08-22,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LES FANTASMES - BORDEAUX
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | Veloute,https://www.youtube.com/watch?v=czykjPMc2B0,2024-04-20,,ancien,Juste Zoé,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique )
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=HOx2mZcqVjs,2023-09-14,,ancien,RebeuDeter,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,On s'envoie sur une île avec Amine 🏝️
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | CHAUD !,https://www.youtube.com/watch?v=zZ11xl-SnXA,2022-02-26,,ancien,RebeuDeter,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Ma première fois avec Amine au ski
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=nv5_ZPF0WVA,2021-12-18,,ancien,RebeuDeter,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,On a visité le fin fond de la France avec Amine
ANVOL,interprofession,,,ANVOL,@lavolaillefrancaise | Le Mois de la Volaille Francaise | Volaille Francaise,https://www.youtube.com/watch?v=2Xigk6PNknE,2025-03-06,,recent,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Mars , c'est le mois de la Volaille Française !"
CIFOG,interprofession,,,CIFOG,Le Foie Gras | President,https://www.youtube.com/watch?v=OfHUijjGqo8,2021-12-22,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Le + GROS REPAS de 2021 de la BRIGADE ? MENU de LUXE! - VLOG 1244
INTERBEV,interprofession,,,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=aV_m2lmjWjo,2021-05-28,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Je fais des PÂTES BOLOGNAISE pour les élèves d'un lycée ! Vont-ils aimer?
INTERBEV,interprofession,,,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=-cXraEfY9-I,2021-05-27,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,On m'embauche dans une BOUCHERIE... et je KIFFE !
