prestataire;categorie_prestataire;client;siren_client;statut;date_debut;date_fin
SYNDIFRAIS;Fédération professionnelle;LAITERIE COOPERAT ALSACIENNE ALSACE LAIT;778731174;actif;11-12-2017 18:15;
SYNDIFRAIS;Fédération professionnelle;LAITERIE SAINT PERE;316252477;actif;11-12-2017 18:15;
SYNDIFRAIS;Fédération professionnelle;LAITERIES H. TRIBALLAT;583720644;actif;11-12-2017 18:15;
SYNDIFRAIS;Fédération professionnelle;LAITIERE DE BOURGOGNE;819381948;actif;11-12-2017 18:15;
SYNDIFRAIS;Fédération professionnelle;SOC LAITIERE DE MACOURIA;443951512;actif;11-12-2017 18:15;
SYNDIFRAIS;Fédération professionnelle;YOPLAIT FRANCE;440767549;actif;11-12-2017 18:15;
SYNTAGME;Cabinet de conseil;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;actif;16-01-2022 12:31;
TADDEO;Cabinet de conseil;GROUPE LACTALIS;331142554;actif;16-03-2026 10:26;
TBWA GROUPE;Cabinet de conseil;DANONE;552032534;actif;22-03-2023 11:33;
UNION MUT FRANCAISE PAYS DE LA LOIRE;Fédération professionnelle;MUTUELLE D'ENTREPRISE EURIAL-POITOURAINE;352291561;actif;08-08-2017 11:41;
UNION MUT FRANCAISE PAYS DE LA LOIRE;Fédération professionnelle;MUTUELLE ENTRAIDE PERSONNE FLEURY MICHON;352537369;actif;08-08-2017 11:41;
UNION NATIONALE INTERPROFES JUS DE FRUIT;Organisation syndicale et professionnelle;LAITERIE DE SAINT-DENIS DE L'HOTEL;085581494;actif;22-12-2017 14:24;
UNION REG MUTUALITE FRANCAISE REG CENTRE;Organisation syndicale et professionnelle;MUTUELLE D'ENTREPRISE EURIAL-POITOURAINE;352291561;actif;08-08-2017 11:11;
